product_name,price,about_product,reviews,rating
"Amal Training Beads Vibrating Pearls Remote Control Massager for Men Massage Plugs 10 Speeds Powerful Personal Toys, Ànâles-Plùg ???r???rs",15.15,"Massage Portable for Men waterproof prostata Masser Toy with multiple models
Great experience: The compact design, refined and ergonomic design and styling will impress you and bring you a lot of fun.
Safe and soft: Our products are made of high-quality materials, are safe and odourless, soft and skin-friendly and feel like the skin.
Waterproof design: Can be used easily in the bathroom, soft and comfortable, easy to insert, exquisite and portable.
Privacy packaging: Our packaging is very personal and we do everything we can to protect the privacy of our guests.",[],0.0
2 pairs ~ super suction stainless steel magnet ball,10.99,"Features: Powerful magnetic ball contains powerful magnetic force, you can put them in the air to hear their buzzing, do tricks by hand, just as there are magnets on each side of your finger Keeps chasing other magnetic ball.
material: metal
Size: 1cm diameter
Color: silver
Package includes: 4 Electromagnetic Balls",[],0.0
"Relaxation balls kitąěě diąmąņt mėtąėņ ėdėėėėņ ącijcijėņ ąććėěěě hąņġėė mąņġė mąņěěėt,🎄lęur-Willękęurig",19.99,This toy can provide more comfort and stimulation in every movement.,[],0.0
Male Plúg Ànâlé Woman Lovely P-l-ù-g Anà-l-ê per-lês Anà-l-ês Fêm-me Hom-me Dêb-u-tànt Sili-conê Vïb-r-ânt Gon-flâble Mâ-SS-EUR de P-Rost-àte Plúg Bûtt Plûg,28.53,"Remote control: Simple one-button design, easy to use.
Multi-vibration mode: Vibration modes, precise, powerful motor. Make your experience more exciting.
Multifunctional Massager - This massager has a powerful vibration motor that can stimulate 3 contact points on the back, stimulate sensitive areas of the back and give you more fun.
100% Waterproof Design: This means you don't have to stop having fun while bathing, you can even use it in swimming pools and the sea.
Material: medical grade silicone, odorless, not easily deformed or cracked. It does not harm the human body and you will enjoy its elasticity and softness.",[],0.0
"PlU? Anälë Vîbränt pour Homme Femme Silicone, Grande Taille Silicone But-t XXL Séxtoysé Homme Vìbròmäss?ur Aña?é Prost-äte Mäs?ëur Vîbrant Puissant E?lëc?r?r?q?e sans Fil",22.87,"Smooth, easy to insert surface: smooth, absolutely burr-free cone head allows it to be inserted into the anus more easily and smoothly. The heart-shaped base prevents unwanted slipping and stimulates your perineum while you wear it for twice as heavenly pleasure.
Safe, clean material: made of high quality aluminum alloy, safe, harmless, odorless and easier to clean than silicone. Soak in cold or warm water before use. Alternating hot and cold, two extreme experiences.
Secret packaging: Our products are packed in black bags, so that other people cannot see what's inside. They do not contain vocabulary and no product information, so you don't have to worry about leaks of confidentiality!
Give her a different kind of pleasure: for her, wearing a cap excites the nerve endings and reassures her. Challenge the buttocks with a longer, thicker rod. And then move on to the big plug to push your back door boundaries to the limit!",[],0.0
"EIS, anal toy, tunnel anal plug - made of metal, tunnel design, exciting structure, Size:M",12.99,"stable material
wavy structure
easy to use
versatile tunnel design
play safe thanks to a wide base",[],0.0
"DAIKK Dílđů Dildòs Tàpón Hinchàblé Dé Silicònà Pàrà Hòmbré Y Mujér, Bütt Ànàlé Plug Dé Silicònà Gràndé Pàrà Hòmbré Y Mujér Şx Tôyş Xl Xxl S4T",20.0,"Modos de Vibración de Frecuencia Múltiple: Este Producto Tiene un Potente Motorsísmico Y Diferentes Modos de Vibración, Que Pueden Diferentes Sensaciones, Puede Elegir el Modo Rápido, Estable O Lento Y Encontrar el Más Cómodo Y Adecudo ado para Usted.
Impermeable Y Silencioso: Es Resistente Al Agua Y Se Puede Limpiar sin Esfuerzo en el Agua, Como en la Ducha, en el Baño O en la Piscina, Este Producto Es Muy Silencioso Incluso en el Modo Más Potente.
Material Seguro Y Superior: el Producto Está Hecho de Material de Silicona de para la Seguridad Del Cuerpo Humano, Tiene una Sensación Suave Y Similar a la Piel Y Es Muy Fácil de Limpiar.
Carga Rápida Usb: Carga Magnética por Usb, Puedes Cargar el Juguete Conectándolo Al Cargador Del Teléfono, Al Ordenador, Al Banco de Energía O Incluso Al Cargador de Coche, Nunca Tendrás Que Buscar Pilas.
Mantén Secretos Y Embalajes Privados: Tendremos una Caja Sellada Dedicada, un Embalaje sin Marcar, una Entrega Confidencial Y Pedidos Expresados sin Dejar Palabras Sensibles.","[{'title': 'Maatje meer', 'text': 'Dit is een zeer goed product om vaginaal een maatje meer te krijgen, zeer prettig om de gehele dag door te dragen tijdens werk / thuis / uitgaan.Zeer makkelijk om meer lucht er in te pompen voor meer omvang/volume.Zeer prettig gevoel door zeer grote omvang in mij te hebben.', 'rating': 5.0}]",5.0
Inflatable Pl'ùg Kit Ànâles-Plúg Silicone Àmàl Didos Ðíl'd? B-ütt Saxx for Women and Men,23.59,"Material: skin-friendly silicone. Made of non-toxic polymer materials, harmless and safe to use. Soft and elastic, no skin damage
❤Rechargeable USB design: easy to clean for reuse. Quick and easy to charge with USB cable. Super elastic, durable, waterproof and reusable.
❤ Powerful Multi-Speed Motor: The rechargeable multi-speed model is designed to please both partners.
❤Best Gift: frosted texture with luxury packaging, definitely the best gift for boyfriend or husband; makes your life much more interesting
❤ Multi-Speed & Strong Motor - The multi-speed rechargeable model with dual massagers is designed to please both partners.",[],0.0
"Lubido Original Water Based Lubricant, Paraben Free, Intimate Gel – 250 ml (Pack of 2)",13.96,"FAVORITE UNDER FANS – top rated water-based gel formula, for long-lasting, hassle-free, all-round lubricant
VEGAN-FRIENDLY, PARABEN-FRIENDLY & HYPOALLERGENIC – a reliable and accessible lubricant that everyone loves
SAFE FOR CONDOMS & TOYS – we offer you safe fun, you do the rest
MAKE SEX EVEN INTENSER – once you've used lube in all the pleasurable ways to have sex you'll never want to be without it again
EASY LOCK & UNLOCK PUMP WITH CLIP – no more hassle halfway through the deed. It's the little things that keep your sexual tricks going without the hassle
DOES NOT STAIN & ODORLESS – a gel lubricant that allows unlimited enjoyment
HYGIENICALLY PACKED & TESTED IN LABORATORY – during your moments of fun, this is a water-based lubricant you can rely on
DISCRETLY PACKAGED – only you know what kind of lubricant awaits you","[{'title': 'Slip & slide', 'text': 'Did the job!', 'rating': 5.0}, {'title': 'Gewoon goed', 'text': 'Gewoon goed.', 'rating': 5.0}, {'title': 'Feels good', 'text': 'Love it', 'rating': 5.0}, {'title': 'Plakt en laat residu achter', 'text': ""Goedkoop, maar laat het 'goed' maar achterwege. Droogt snel uit en laat een soort van residu achter.Voor mij geen Lubido meer."", 'rating': 3.0}, {'title': 'Chemische geur en plakt enorm', 'text': 'Na binnenkomst getest, zit een enorm chemische geur aan en dit glijmiddel plakt enorm! Voor mij zeker geen aanrader voor andere!', 'rating': 1.0}, {'title': 'Lubido', 'text': 'Hoge prijs', 'rating': 2.0}, {'title': 'Amazing', 'text': 'Very nice and long lasting', 'rating': 5.0}, {'title': 'Enorme huidirritatie', 'text': 'Een tijd lang naar tevredenheid gebruikt, maar veroorzaakt steeds meer huidirritatie.Wegwassen met water en zeep helpt niet.Erg jammer want het was prima voor toys.', 'rating': 1.0}, {'title': 'Title not found', 'text': 'bon produit', 'rating': 5.0}, {'title': 'Title not found', 'text': 'Buena calidad y buen precio', 'rating': 5.0}, {'title': 'Title not found', 'text': 'inte bästa', 'rating': 5.0}, {'title': 'Title not found', 'text': 'Très bon lubrifiant bonne sensation', 'rating': 5.0}, {'title': 'Title not found', 'text': 'Ottimo prodottoLo consiglio', 'rating': 5.0}]",4.5
Powerful Vibration to~AL BU~TT Pl~UG Silicone Beads Toys for Women for Men Amal Pl~ugs Vi~Bra~tor for S~ex Beginners Sexy for Adults Couples AD8D,39.58,"♥ Sèksspèeltjes for women Ånâlvibrâtör vîbratór for parèn G-spót and clîtóris vibràtór Ånâldösport- voór vróuwèn vîbratór vîbràtors erótîschè sèksspèelelele góed vóed or Ånâlplplg vróuwèn
♥ Multiple frequencies vibration powerful motor create different feelings, you can enjoy all kinds of stimulation and find your favorite.
♥ Safe and Superior Material: Made of medical grade soft high-quality silicone, feels like real skin, it feels soft, smooth and very comfortable.
♥ Appropriate Portable Size: Easy to carry to secretly enjoy your massager anywhere because of the suitable size.
♥ Waterproof & Whisper Quiet: This item is a high degree of water resistant and good anti-corrosive property. It is also in the most powerful mode very quiet, do not worry about disturbing others.",[],0.0
